Id_Estado,Id_Tienda
BAJA CALIFORNIA SUR,506t
BAJA CALIFORNIA SUR,507t
BAJA CALIFORNIA SUR,508t
BAJA CALIFORNIA SUR,509t
BAJA CALIFORNIA SUR,510t
BAJA CALIFORNIA SUR,511t
BAJA CALIFORNIA SUR,512t
BAJA CALIFORNIA SUR,513t
BAJA CALIFORNIA SUR,514t
BAJA CALIFORNIA SUR,515t
BAJA CALIFORNIA SUR,516t
BAJA CALIFORNIA SUR,517t
BAJA CALIFORNIA SUR,518t
BAJA CALIFORNIA SUR,519t
BAJA CALIFORNIA SUR,520t
BAJA CALIFORNIA SUR,521t
BAJA CALIFORNIA SUR,522t
BAJA CALIFORNIA SUR,523t
BAJA CALIFORNIA SUR,524t
BAJA CALIFORNIA SUR,525t
BAJA CALIFORNIA SUR,526t
