Nombre_Tienda,Id_Tienda
LEY EXPRESS MIRAMAR Y/O CASA LEY  S.A. DE C.V.,304t
LEY EXPRESS PROGRESO Y/O CASA LEY  S.A. DE C.V.,305t
TIENDAS CHEDRAUI S.A.DE C.V.,306t
BODEGA AURRERA CAMINO REAL   Y/O NUEVA WALMART DE MEXICO  S. DE R.L. DE C.V.,307t
LEY EXPRESS CAMINO REAL 1222 Y/O CASA LEY S.A.DE C.V.,308t
TIENDAS SORIANA  S.A. DE C.V. SUCURSAL CAMINO REAL (620),309t
ALISER CAMINO REAL Y/O ALISER  S.A. DE C.V.,310t
CARLOS ARAMBURO  S.A. DE C.V. Y/O SUPERMERCADO ARAMBURO 16 DE SEPTIEMBRE,311t
CARLOS ARAMBURO  S.A. DE C.V.,312t
TIENDAS CHEDRAUI  S.A. DE C.V.,313t
OXXO CALANDRIO Y/O CADENA COMERCIAL OXXO  S.A. DE C.V.,314t
MISCELANEA EL TUCAN Y/O LEONARDA MARIA SANTOS CHAVEZ,315t
MINIMART TABACHINES Y/O CARLOS ARAMBURO  S.A. DE C.V.,316t
JUAN RICARDO MEDINA VARELA Y/O MINI SUPER PINGUI,317t
OXXO DIANA LAURA Y/O CADENA COMERCIAL OXXO S.A.DE C.V.,318t
"GUADALUPE REBECA RIVERA GOMEZ Y/O MATERIALES Y FERRETERIA ""LOS JOAQUINES""",319t
ENERGIA Y COMUNICACIONES DE MEXICO S.A. DE C.V. Y/O ENERCOMM,320t
DULCE MARIA LUCERO AMADOR Y/O VICTORIAS,321t
JUANA MARIA ALEJOS VASQUEZ Y/O OPTICA,322t
INES ARREOLA MIRANDA Y/O DULCERIA EL CHAPULIN,323t
VERONICA VERDUZCO Y/O REGALOS TUTU,324t
JOSE ANTONIO BATALLA LOPEZ Y/O ALMACENES BATALLA,325t
TRACTO DIESEL DEL MAR DE CORTEZ S.A. DE C.V.,326t
ANTONIA LUCERO ANGULO Y/O DULCERIA SOTRES,327t
MARINO SPORT Y/O VICTOR JESUS SANCHEZ UNZON,328t
4 STREET Y/O FRANCISCO JAVIER AGUILAR VILLAVICENCIO,329t
NORMA PATRICIA AYALA LOPEZ Y/O MYSIN,330t
FRANCISCO HUMBERTO DEYTA ALVAREZ Y/O DEYTAS BOUTIQUE,331t
CARLOS RICARDO TOSTADO   FLORES Y/O DISTRIBUIDORA FIJI,332t
LA PALMA  R.J. S.A.  DE C.V.,333t
BAJA STAR CORP  S.A. DE C.V.,334t
CAZEI  S.A. DE C.V. Y/O ZAPATERIA,335t
ZAPATERIA YOLI Y/O AGUSTIN MENDOZA MORENO,336t
ZAPATERIA SILVIA Y/O GLORIA SILVIA SALMON VILLALOBOS,337t
COMERCIALIZADORA ROVIROSA S. DE R.L. DE C.V. Y/O WORLD SHOES,338t
OCEANUS Y/O JOANNA SACHENKA  ARNAUT GONZALEZ,339t
TERRA BOUTIQUE Y/O EVANGELINA SERRANO ARIAS,340t
MAGNOLIAS BOUTIQUE Y/O JORGE VALDEZ AVILES,341t
DACELIS Y/O JAYA ANA SCHCOLNIK CORRAL,342t
SANTORY INTERNACIONAL S.A. DE C.V. Y/O SANTORY,343t
DISTRIBUIDORA LA GRAN MURALLA  S.A. DE C.V.,344t
MSS LUXE IMPORTACIONES S. DE R.L. DE C.V. Y/O CABO DUTY FREE,345t
VANITY  Y/O  SERGIO GARMENDIA BAZUA,346t
NOVEDADES EVELYN Y/O VICTORIA HERNANDEZ CASTRO,347t
