Id_Producto,Id_Tienda,INCUMPLIMIENTO
142p,313t,NO SE DETECTO INCUMPLIMIENTO
152p,313t,NO SE DETECTO INCUMPLIMIENTO
156p,313t,NO SE DETECTO INCUMPLIMIENTO
204p,313t,No ostenta la declaraci¾n del contenido neto.
204p,313t,toma de muestras
204p,313t,Ostenta la informaci¾n nutrimental en forma incorrecta ¾ carece de la misma.
222p,313t,NO SE DETECTO INCUMPLIMIENTO
223p,313t,NO SE DETECTO INCUMPLIMIENTO
233p,313t,No indica veracidad de la informacion comercial
233p,313t,toma de muestras
233p,313t,La informacion  nutrimental  se encuentra en otro idioma distinto al español
241p,313t,CARECE DEL CERTIFICADO DE CONFORMIDAD CON LA NORMA
242p,313t,carece de certificado de cumplimiento de la norma
262p,313t,NO SE DETECTO INCUMPLIMIENTO
1p,3724t,NO SE DETECTO INCUMPLIMIENTO
61p,3724t,NO SE DETECTO INCUMPLIMIENTO
146p,3724t,NO SE DETECTO INCUMPLIMIENTO
1p,3726t,NO SE DETECTO INCUMPLIMIENTO
61p,3726t,NO SE DETECTO INCUMPLIMIENTO
93p,3726t,NO SE DETECTO INCUMPLIMIENTO
105p,3726t,NO SE DETECTO INCUMPLIMIENTO
146p,3726t,NO SE DETECTO INCUMPLIMIENTO
1p,3737t,NO SE DETECTO INCUMPLIMIENTO
1p,3769t,NO SE DETECTO INCUMPLIMIENTO
54p,3769t,NO SE DETECTO INCUMPLIMIENTO
1p,3936t,NO SE DETECTO INCUMPLIMIENTO
54p,3936t,NO SE DETECTO INCUMPLIMIENTO
61p,3936t,NO SE DETECTO INCUMPLIMIENTO
1p,4132t,NO SE DETECTO INCUMPLIMIENTO
3p,4132t,NO SE DETECTO INCUMPLIMIENTO
93p,4132t,NO SE DETECTO INCUMPLIMIENTO
120p,4132t,NO SE DETECTO INCUMPLIMIENTO
1p,4058t,NO SE DETECTO INCUMPLIMIENTO
4p,4058t,NO SE DETECTO INCUMPLIMIENTO
22p,4058t,NO SE DETECTO INCUMPLIMIENTO
54p,4058t,NO SE DETECTO INCUMPLIMIENTO
61p,4058t,NO SE DETECTO INCUMPLIMIENTO
88p,4058t,NO SE DETECTO INCUMPLIMIENTO
93p,4058t,NO SE DETECTO INCUMPLIMIENTO
1p,4185t,NO SE DETECTO INCUMPLIMIENTO
1p,4186t,NO SE DETECTO INCUMPLIMIENTO
3p,4186t,NO SE DETECTO INCUMPLIMIENTO
250p,4186t,NO SE DETECTO INCUMPLIMIENTO
1p,4316t,NO SE DETECTO INCUMPLIMIENTO
1p,4434t,NO SE DETECTO INCUMPLIMIENTO
3p,4434t,NO SE DETECTO INCUMPLIMIENTO
4p,4434t,NO SE DETECTO INCUMPLIMIENTO
1p,4454t,NO SE DETECTO INCUMPLIMIENTO
1p,819t,NO SE DETECTO INCUMPLIMIENTO
3p,819t,NO SE DETECTO INCUMPLIMIENTO
4p,819t,NO SE DETECTO INCUMPLIMIENTO
13p,819t,NO SE DETECTO INCUMPLIMIENTO
21p,819t,NO SE DETECTO INCUMPLIMIENTO
24p,819t,NO SE DETECTO INCUMPLIMIENTO
25p,819t,NO SE DETECTO INCUMPLIMIENTO
34p,819t,NO SE DETECTO INCUMPLIMIENTO
42p,819t,NO SE DETECTO INCUMPLIMIENTO
56p,819t,NO SE DETECTO INCUMPLIMIENTO
61p,819t,NO SE DETECTO INCUMPLIMIENTO
63p,819t,NO SE DETECTO INCUMPLIMIENTO
77p,819t,NO SE DETECTO INCUMPLIMIENTO
93p,819t,NO SE DETECTO INCUMPLIMIENTO
104p,819t,NO SE DETECTO INCUMPLIMIENTO
109p,819t,NO SE DETECTO INCUMPLIMIENTO
121p,819t,NO SE DETECTO INCUMPLIMIENTO
122p,819t,NO SE DETECTO INCUMPLIMIENTO
128p,819t,NO SE DETECTO INCUMPLIMIENTO
129p,819t,NO SE DETECTO INCUMPLIMIENTO
181p,819t,NO SE DETECTO INCUMPLIMIENTO
221p,819t,NO SE DETECTO INCUMPLIMIENTO
1p,4464t,NO SE DETECTO INCUMPLIMIENTO
4p,4464t,NO SE DETECTO INCUMPLIMIENTO
61p,4464t,NO SE DETECTO INCUMPLIMIENTO
93p,4464t,NO SE DETECTO INCUMPLIMIENTO
1p,4510t,NO SE DETECTO INCUMPLIMIENTO
93p,4510t,NO SE DETECTO INCUMPLIMIENTO
1p,4528t,NO SE DETECTO INCUMPLIMIENTO
4p,4528t,NO SE DETECTO INCUMPLIMIENTO
1p,4548t,NO SE DETECTO INCUMPLIMIENTO
61p,4548t,NO SE DETECTO INCUMPLIMIENTO
1p,4576t,NO SE DETECTO INCUMPLIMIENTO
4p,4576t,NO SE DETECTO INCUMPLIMIENTO
93p,4576t,NO SE DETECTO INCUMPLIMIENTO
1p,4592t,NO SE DETECTO INCUMPLIMIENTO
4p,4592t,NO SE DETECTO INCUMPLIMIENTO
61p,4592t,NO SE DETECTO INCUMPLIMIENTO
1p,4593t,NO SE DETECTO INCUMPLIMIENTO
1p,4613t,NO SE DETECTO INCUMPLIMIENTO
61p,4613t,NO SE DETECTO INCUMPLIMIENTO
1p,4642t,NO SE DETECTO INCUMPLIMIENTO
105p,4642t,NO SE DETECTO INCUMPLIMIENTO
1p,4680t,NO SE DETECTO INCUMPLIMIENTO
105p,4680t,NO SE DETECTO INCUMPLIMIENTO
1p,4691t,NO SE DETECTO INCUMPLIMIENTO
105p,4691t,NO SE DETECTO INCUMPLIMIENTO
1p,4695t,NO SE DETECTO INCUMPLIMIENTO
250p,4695t,NO SE DETECTO INCUMPLIMIENTO
1p,4696t,NO SE DETECTO INCUMPLIMIENTO
1p,4697t,NO SE DETECTO INCUMPLIMIENTO
3p,4697t,NO SE DETECTO INCUMPLIMIENTO
1p,278t,NO SE DETECTO INCUMPLIMIENTO
3p,278t,NO SE DETECTO INCUMPLIMIENTO
4p,278t,NO SE DETECTO INCUMPLIMIENTO
22p,278t,NO SE DETECTO INCUMPLIMIENTO
25p,278t,NO SE DETECTO INCUMPLIMIENTO
26p,278t,NO SE DETECTO INCUMPLIMIENTO
33p,278t,NO SE DETECTO INCUMPLIMIENTO
34p,278t,NO SE DETECTO INCUMPLIMIENTO
36p,278t,NO SE DETECTO INCUMPLIMIENTO
38p,278t,NO SE DETECTO INCUMPLIMIENTO
54p,278t,NO SE DETECTO INCUMPLIMIENTO
56p,278t,NO SE DETECTO INCUMPLIMIENTO
58p,278t,NO SE DETECTO INCUMPLIMIENTO
60p,278t,NO SE DETECTO INCUMPLIMIENTO
61p,278t,NO SE DETECTO INCUMPLIMIENTO
63p,278t,NO SE DETECTO INCUMPLIMIENTO
63p,278t,Carece de certificado de cumplimiento NOM
77p,278t,NO SE DETECTO INCUMPLIMIENTO
77p,278t,Carece de certificado de cumplimiento NOM
79p,278t,NO SE DETECTO INCUMPLIMIENTO
